vente_id,produit_id,client_id,date_vente,quantite,canal_vente,ville_magasin,prix_total
V00001,P005,C0112,2023-09-04,3,En ligne,Rabat,3657
V00002,P006,C0478,2023-01-01,2,Magasin physique,Oujda,2330
V00003,P004,C0367,2023-07-07,3,En ligne,Meknès,2121
V00004,P010,C0272,2023-01-31,2,En ligne,Rabat,2080
V00005,P006,C0312,2023-07-17,3,En ligne,Fès,3495
V00006,P011,C0094,2023-09-29,1,En ligne,Tanger,766
V00007,P013,C0051,2024-09-02,3,Magasin physique,Agadir,3174
V00008,P006,C0975,2024-11-23,1,Magasin physique,Meknès,1165
V00009,P018,C0564,2024-05-02,3,En ligne,Rabat,2196
V00010,P015,C0824,2024-02-11,1,En ligne,Rabat,1246
V00011,P001,C0851,2023-11-19,1,En ligne,Marrakech,863
V00012,P007,C0382,2024-03-31,2,En ligne,Agadir,1978
V00013,P003,C0067,2024-06-30,1,En ligne,Meknès,491
V00014,P005,C0927,2023-02-04,1,Magasin physique,Rabat,1219
V00015,P002,C0052,2024-05-25,2,En ligne,Oujda,2832
V00016,P013,C0031,2024-03-12,2,Magasin physique,Oujda,2116
V00017,P006,C0220,2023-11-03,2,En ligne,Agadir,2330
V00018,P009,C0905,2023-01-03,2,En ligne,Casablanca,1110
V00019,P020,C0632,2023-08-01,3,En ligne,Agadir,1755
V00020,P016,C0904,2024-12-18,2,Magasin physique,Casablanca,1928
V00021,P003,C0393,2023-12-09,2,En ligne,Oujda,982
V00022,P007,C0906,2024-10-01,3,En ligne,Casablanca,2967
V00023,P013,C0368,2024-07-06,3,Magasin physique,Meknès,3174
V00024,P012,C0515,2023-01-23,3,Magasin physique,Oujda,1518
V00025,P009,C0027,2024-09-10,1,Magasin physique,Fès,555
V00026,P001,C0060,2023-07-07,2,Magasin physique,Tanger,1726
V00027,P019,C0998,2024-10-03,1,En ligne,Rabat,1322
V00028,P008,C0247,2023-06-02,3,Magasin physique,Casablanca,3012
V00029,P008,C0867,2023-11-22,3,Magasin physique,Tanger,3012
V00030,P006,C0243,2024-08-09,1,Magasin physique,Tanger,1165
V00031,P019,C0721,2024-04-20,1,Magasin physique,Marrakech,1322
V00032,P019,C0857,2024-03-11,1,Magasin physique,Agadir,1322
V00033,P006,C0039,2024-07-13,2,En ligne,Casablanca,2330
V00034,P008,C0225,2023-09-21,3,En ligne,Meknès,3012
V00035,P001,C0940,2023-09-02,2,En ligne,Marrakech,1726
V00036,P011,C0182,2023-12-21,3,Magasin physique,Casablanca,2298
V00037,P001,C0601,2023-07-29,1,En ligne,Rabat,863
V00038,P017,C0984,2023-10-18,2,En ligne,Tanger,730
V00039,P013,C0104,2024-10-07,3,Magasin physique,Agadir,3174
V00040,P011,C1000,2024-10-03,1,En ligne,Oujda,766
V00041,P016,C0325,2023-12-31,3,En ligne,Tanger,2892
V00042,P008,C0604,2023-08-03,3,En ligne,Oujda,3012
V00043,P010,C0706,2023-02-02,3,Magasin physique,Marrakech,3120
V00044,P006,C0002,2023-05-02,3,Magasin physique,Casablanca,3495
V00045,P006,C0326,2023-02-04,3,En ligne,Rabat,3495
V00046,P016,C0340,2024-10-01,1,En ligne,Fès,964
V00047,P012,C0172,2024-04-09,2,En ligne,Tanger,1012
V00048,P015,C0272,2023-01-22,1,En ligne,Fès,1246
V00049,P003,C0263,2024-10-30,2,En ligne,Casablanca,982
V00050,P002,C0449,2024-02-11,2,Magasin physique,Marrakech,2832
V00051,P014,C0903,2023-04-08,2,Magasin physique,Tanger,892
V00052,P018,C0104,2023-03-13,2,Magasin physique,Fès,1464
V00053,P006,C0076,2024-01-22,2,En ligne,Agadir,2330
V00054,P001,C0268,2024-04-30,2,En ligne,Rabat,1726
V00055,P011,C0910,2023-12-31,1,Magasin physique,Marrakech,766
V00056,P003,C0965,2024-12-10,3,En ligne,Tanger,1473
V00057,P020,C0915,2024-05-23,3,Magasin physique,Casablanca,1755
V00058,P014,C0169,2024-11-24,3,Magasin physique,Marrakech,1338
V00059,P002,C0340,2023-12-19,1,En ligne,Fès,1416
